threshold,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,predicted_fraud_count,false_positive_cost,false_negative_cost,business_cost
0.01,0.011153712094806553,0.9795918367346939,0.022056289488799542,48353,8511,2,96,8607,1.0,20.0,8551.0
0.02,0.014546580006190035,0.9591836734693877,0.028658536585365855,50496,6368,4,94,6462,1.0,20.0,6448.0
0.03,0.017365601330131167,0.9591836734693877,0.03411359099981855,51545,5319,4,94,5413,1.0,20.0,5399.0
0.04,0.019756200084068937,0.9591836734693877,0.03871499176276771,52200,4664,4,94,4758,1.0,20.0,4744.0
0.05,0.021627906976744184,0.9489795918367347,0.042291950886766703,52657,4207,5,93,4300,1.0,20.0,4307.0
0.060000000000000005,0.023580121703853957,0.9489795918367347,0.04601682335477487,53013,3851,5,93,3944,1.0,20.0,3951.0
0.06999999999999999,0.024897400820793433,0.9285714285714286,0.0484945377031708,53300,3564,7,91,3655,1.0,20.0,3704.0
0.08,0.026608187134502925,0.9285714285714286,0.05173393973848778,53535,3329,7,91,3420,1.0,20.0,3469.0
0.09,0.02799138726545678,0.9285714285714286,0.05434458047178262,53704,3160,7,91,3251,1.0,20.0,3300.0
0.09999999999999999,0.02925104468016715,0.9285714285714286,0.056715487690869426,53844,3020,7,91,3111,1.0,20.0,3160.0
0.11,0.03077443354751437,0.9285714285714286,0.05957446808510638,53998,2866,7,91,2957,1.0,20.0,3006.0
0.12,0.03226950354609929,0.9285714285714286,0.06237148732008224,54135,2729,7,91,2820,1.0,20.0,2869.0
0.13,0.033542204201990417,0.9285714285714286,0.0647456421202419,54242,2622,7,91,2713,1.0,20.0,2762.0
0.14,0.034932821497120924,0.9285714285714286,0.06733259341472439,54350,2514,7,91,2605,1.0,20.0,2654.0
0.15000000000000002,0.03582677165354331,0.9285714285714286,0.06899166034874905,54415,2449,7,91,2540,1.0,20.0,2589.0
0.16,0.037037037037037035,0.9285714285714286,0.07123287671232877,54498,2366,7,91,2457,1.0,20.0,2506.0
0.17,0.03821923561528769,0.9285714285714286,0.07341670028237192,54574,2290,7,91,2381,1.0,20.0,2430.0
0.18000000000000002,0.03932584269662921,0.9285714285714286,0.07545605306799337,54641,2223,7,91,2314,1.0,20.0,2363.0
0.19,0.040336879432624116,0.9285714285714286,0.07731520815632965,54699,2165,7,91,2256,1.0,20.0,2305.0
0.2,0.04142011834319527,0.9285714285714286,0.07930283224400872,54758,2106,7,91,2197,1.0,20.0,2246.0
0.21000000000000002,0.04274307186472522,0.9285714285714286,0.08172429277054333,54826,2038,7,91,2129,1.0,20.0,2178.0
0.22,0.04385542168674699,0.9285714285714286,0.08375517717441326,54880,1984,7,91,2075,1.0,20.0,2124.0
0.23,0.04491609081934847,0.9285714285714286,0.0856873822975518,54929,1935,7,91,2026,1.0,20.0,2075.0
0.24000000000000002,0.046052631578947366,0.9285714285714286,0.08775313404050145,54979,1885,7,91,1976,1.0,20.0,2025.0
0.25,0.04710144927536232,0.9285714285714286,0.08965517241379312,55023,1841,7,91,1932,1.0,20.0,1981.0
0.26,0.04754358161648178,0.9183673469387755,0.09040683073832245,55061,1803,8,90,1893,1.0,20.0,1963.0
0.27,0.04862236628849271,0.9183673469387755,0.09235505387378143,55103,1761,8,90,1851,1.0,20.0,1921.0
